Time,Channel A,Channel B
(ms),(V),(V)

-49.99616742,5.63463300,-0.44441050
-49.99488742,5.63463300,-0.44441050
-49.99360742,5.63463300,-0.46028020
-49.99232742,5.63463300,-0.44441050
-49.99104742,5.63463300,-0.46028020
-49.98976742,5.63463300,-0.47614980
-49.98848742,5.63463300,-0.46028020
-49.98720742,5.63463300,-0.46028020
-49.98592742,5.63463300,-0.47614980
-49.98464742,5.63463300,-0.47614980
-49.98336742,5.63463300,-0.42854090
-49.98208742,5.63463300,-0.46028020
-49.98080742,5.63463300,-0.44441050
-49.97952742,5.63463300,-0.46028020
-49.97824742,5.63463300,-0.44441050
-49.97696742,5.63463300,-0.46028020
-49.97568742,5.63463300,-0.44441050
-49.97440742,5.63463300,-0.46028020
-49.97312742,5.63463300,-0.44441050
-49.97184742,5.63463300,-0.44441050
-49.97056742,5.63463300,-0.46028020
-49.96928742,5.63463300,-0.42854090
-49.96800742,5.55528500,-0.47614980
-49.96672742,5.63463300,-0.42854090
-49.96544742,5.63463300,-0.44441050
-49.96416742,5.63463300,-0.44441050
-49.96288742,5.63463300,-0.44441050
-49.96160742,5.63463300,-0.47614980
-49.96032742,5.63463300,-0.44441050
-49.95904742,5.63463300,-0.47614980
-49.95776742,5.55528500,-0.44441050
-49.95648742,5.63463300,-0.46028020
-49.95520742,5.63463300,-0.44441050
-49.95392742,5.63463300,-0.44441050
-49.95264742,5.63463300,-0.44441050
-49.95136742,5.55528500,-0.44441050
-49.95008742,5.63463300,-0.44441050
-49.94880742,5.55528500,-0.44441050
-49.94752742,5.55528500,-0.47614980
-49.94624742,5.55528500,-0.46028020
-49.94496742,5.63463300,-0.47614980
-49.94368742,5.55528500,-0.46028020
-49.94240742,5.55528500,-0.47614980
-49.94112742,5.55528500,-0.44441050
-49.93984742,5.55528500,-0.47614980
-49.93856742,5.63463300,-0.46028020
-49.93728742,5.55528500,-0.47614980
-49.93600742,5.55528500,-0.47614980
-49.93472742,5.55528500,-0.46028020
-49.93344742,5.55528500,-0.47614980
-49.93216742,5.55528500,-0.47614980
-49.93088742,5.55528500,-0.47614980
-49.92960742,5.55528500,-0.46028020
-49.92832742,5.55528500,-0.46028020
-49.92704742,5.55528500,-0.47614980
-49.92576742,5.55528500,-0.49201940
-49.92448742,5.55528500,-0.49201940
-49.92320742,5.55528500,-0.46028020
-49.92192742,5.55528500,-0.47614980
-49.92064742,5.55528500,-0.44441050
-49.91936742,5.55528500,-0.47614980
-49.91808742,5.55528500,-0.47614980
-49.91680742,5.55528500,-0.47614980
-49.91552742,5.55528500,-0.46028020
-49.91424742,5.55528500,-0.47614980
-49.91296742,5.55528500,-0.44441050
-49.91168742,5.55528500,-0.46028020
-49.91040742,5.55528500,-0.47614980
-49.90912742,5.55528500,-0.46028020
-49.90784742,5.55528500,-0.46028020
-49.90656742,5.55528500,-0.46028020
-49.90528742,5.55528500,-0.44441050
-49.90400742,5.55528500,-0.47614980
-49.90272742,5.55528500,-0.44441050
-49.90144742,5.55528500,-0.44441050
-49.90016742,5.55528500,-0.47614980
-49.89888742,5.55528500,-0.46028020
-49.89760742,5.55528500,-0.46028020
-49.89632742,5.55528500,-0.46028020
-49.89504742,5.55528500,-0.47614980
-49.89376742,5.55528500,-0.47614980
-49.89248742,5.55528500,-0.47614980
-49.89120742,5.55528500,-0.47614980
-49.88992742,5.55528500,-0.46028020
-49.88864742,5.47593600,-0.47614980
-49.88736742,5.55528500,-0.47614980
-49.88608742,5.55528500,-0.47614980
-49.88480742,5.55528500,-0.49201940
-49.88352742,5.55528500,-0.47614980
-49.88224742,5.55528500,-0.47614980
-49.88096742,5.55528500,-0.44441050
-49.87968742,5.55528500,-0.46028020
-49.87840742,5.55528500,-0.47614980
-49.87712742,5.55528500,-0.47614980
-49.87584742,5.55528500,-0.46028020
-49.87456742,5.55528500,-0.47614980
-49.87328742,5.55528500,-0.47614980
-49.87200742,5.55528500,-0.46028020
-49.87072742,5.47593600,-0.50788900
-49.86944742,5.47593600,-0.47614980
-49.86816742,5.47593600,-0.47614980
-49.86688742,5.47593600,-0.47614980
-49.86560742,5.47593600,-0.47614980
-49.86432742,5.55528500,-0.49201940
-49.86304742,5.47593600,-0.47614980
-49.86176742,5.55528500,-0.47614980
-49.86048742,5.55528500,-0.49201940
-49.85920742,5.55528500,-0.47614980
-49.85792742,5.47593600,-0.52375860
-49.85664742,5.47593600,-0.52375860
-49.85536742,5.47593600,-0.47614980
-49.85408742,5.47593600,-0.49201940
-49.85280742,5.47593600,-0.49201940
-49.85152742,5.47593600,-0.49201940
