Time,Channel A,Channel B
(ms),(V),(V)

-50.99456385,5.63463300,-0.38093200
-50.99328385,5.63463300,-0.34919280
-50.99200385,5.63463300,-0.33332320
-50.99072385,5.63463300,-0.33332320
-50.98944385,5.63463300,-0.34919280
-50.98816385,5.63463300,-0.34919280
-50.98688385,5.71428600,-0.33332320
-50.98560385,5.71428600,-0.31745350
-50.98432385,5.71428600,-0.33332320
-50.98304385,5.63463300,-0.34919280
-50.98176385,5.71428600,-0.34919280
-50.98048385,5.63463300,-0.33332320
-50.97920385,5.63463300,-0.31745350
-50.97792385,5.63463300,-0.31745350
-50.97664385,5.63463300,-0.34919280
-50.97536385,5.71428600,-0.31745350
-50.97408385,5.63463300,-0.36506240
-50.97280385,5.63463300,-0.33332320
-50.97152385,5.63463300,-0.31745350
-50.97024385,5.63463300,-0.33332320
-50.96896385,5.63463300,-0.33332320
-50.96768385,5.63463300,-0.34919280
-50.96640385,5.63463300,-0.33332320
-50.96512385,5.63463300,-0.33332320
-50.96384385,5.63463300,-0.36506240
-50.96256385,5.63463300,-0.34919280
-50.96128385,5.63463300,-0.34919280
-50.96000385,5.63463300,-0.33332320
-50.95872385,5.63463300,-0.31745350
-50.95744385,5.63463300,-0.34919280
-50.95616385,5.63463300,-0.38093200
-50.95488385,5.63463300,-0.34919280
-50.95360385,5.63463300,-0.33332320
-50.95232385,5.63463300,-0.33332320
-50.95104385,5.63463300,-0.34919280
-50.94976385,5.63463300,-0.34919280
-50.94848385,5.63463300,-0.33332320
-50.94720385,5.63463300,-0.34919280
-50.94592385,5.63463300,-0.31745350
-50.94464385,5.63463300,-0.36506240
-50.94336385,5.63463300,-0.34919280
-50.94208385,5.63463300,-0.33332320
-50.94080385,5.63463300,-0.33332320
-50.93952385,5.63463300,-0.38093200
-50.93824385,5.63463300,-0.33332320
-50.93696385,5.63463300,-0.34919280
-50.93568385,5.63463300,-0.36506240
-50.93440385,5.55528500,-0.34919280
-50.93312385,5.63463300,-0.34919280
-50.93184385,5.63463300,-0.38093200
-50.93056385,5.63463300,-0.39680170
-50.92928385,5.63463300,-0.34919280
-50.92800385,5.55528500,-0.36506240
-50.92672385,5.63463300,-0.36506240
-50.92544385,5.63463300,-0.38093200
-50.92416385,5.63463300,-0.36506240
-50.92288385,5.63463300,-0.36506240
-50.92160385,5.63463300,-0.34919280
-50.92032385,5.63463300,-0.34919280
-50.91904385,5.55528500,-0.36506240
-50.91776385,5.63463300,-0.38093200
-50.91648385,5.55528500,-0.34919280
-50.91520385,5.55528500,-0.33332320
-50.91392385,5.55528500,-0.34919280
-50.91264385,5.55528500,-0.38093200
-50.91136385,5.55528500,-0.34919280
-50.91008385,5.55528500,-0.34919280
-50.90880385,5.55528500,-0.33332320
-50.90752385,5.55528500,-0.36506240
-50.90624385,5.55528500,-0.38093200
-50.90496385,5.55528500,-0.36506240
-50.90368385,5.55528500,-0.34919280
-50.90240385,5.55528500,-0.34919280
-50.90112385,5.63463300,-0.36506240
-50.89984385,5.55528500,-0.38093200
-50.89856385,5.55528500,-0.34919280
-50.89728385,5.55528500,-0.34919280
-50.89600385,5.55528500,-0.34919280
-50.89472385,5.55528500,-0.38093200
-50.89344385,5.55528500,-0.39680170
-50.89216385,5.55528500,-0.41267130
-50.89088385,5.55528500,-0.39680170
-50.88960385,5.55528500,-0.38093200
-50.88832385,5.55528500,-0.41267130
-50.88704385,5.55528500,-0.42854090
-50.88576385,5.55528500,-0.39680170
-50.88448385,5.55528500,-0.38093200
-50.88320385,5.55528500,-0.39680170
-50.88192385,5.55528500,-0.41267130
-50.88064385,5.55528500,-0.41267130
-50.87936385,5.55528500,-0.42854090
-50.87808385,5.55528500,-0.41267130
-50.87680385,5.55528500,-0.38093200
-50.87552385,5.55528500,-0.41267130
-50.87424385,5.55528500,-0.42854090
-50.87296385,5.55528500,-0.42854090
-50.87168385,5.55528500,-0.41267130
-50.87040385,5.55528500,-0.38093200
-50.86912385,5.55528500,-0.41267130
-50.86784385,5.55528500,-0.42854090
-50.86656385,5.55528500,-0.42854090
-50.86528385,5.55528500,-0.42854090
-50.86400385,5.55528500,-0.39680170
-50.86272385,5.55528500,-0.42854090
-50.86144385,5.55528500,-0.44441050
-50.86016385,5.55528500,-0.42854090
-50.85888385,5.55528500,-0.41267130
-50.85760385,5.55528500,-0.41267130
-50.85632385,5.55528500,-0.42854090
-50.85504385,5.55528500,-0.42854090
-50.85376385,5.55528500,-0.44441050
-50.85248385,5.55528500,-0.42854090
-50.85120385,5.55528500,-0.41267130
-50.84992385,5.55528500,-0.44441050
