Time,Channel A,Channel B
(ms),(V),(V)

-50.99840462,5.63463300,-0.49201940
-50.99712462,5.63463300,-0.53962830
-50.99584462,5.63463300,-0.53962830
-50.99456462,5.63463300,-0.52375860
-50.99328462,5.63463300,-0.50788900
-50.99200462,5.63463300,-0.50788900
-50.99072462,5.63463300,-0.53962830
-50.98944462,5.63463300,-0.53962830
-50.98816462,5.63463300,-0.49201940
-50.98688462,5.63463300,-0.47614980
-50.98560462,5.63463300,-0.52375860
-50.98432462,5.63463300,-0.53962830
-50.98304462,5.63463300,-0.50788900
-50.98176462,5.55528500,-0.49201940
-50.98048462,5.63463300,-0.47614980
-50.97920462,5.63463300,-0.52375860
-50.97792462,5.63463300,-0.52375860
-50.97664462,5.63463300,-0.47614980
-50.97536462,5.63463300,-0.47614980
-50.97408462,5.55528500,-0.49201940
-50.97280462,5.63463300,-0.53962830
-50.97152462,5.55528500,-0.50788900
-50.97024462,5.55528500,-0.49201940
-50.96896462,5.63463300,-0.49201940
-50.96768462,5.63463300,-0.52375860
-50.96640462,5.55528500,-0.52375860
-50.96512462,5.55528500,-0.50788900
-50.96384462,5.63463300,-0.47614980
-50.96256462,5.55528500,-0.49201940
-50.96128462,5.55528500,-0.52375860
-50.96000462,5.55528500,-0.53962830
-50.95872462,5.55528500,-0.50788900
-50.95744462,5.55528500,-0.49201940
-50.95616462,5.63463300,-0.50788900
-50.95488462,5.55528500,-0.52375860
-50.95360462,5.55528500,-0.52375860
-50.95232462,5.55528500,-0.47614980
-50.95104462,5.55528500,-0.47614980
-50.94976462,5.55528500,-0.49201940
-50.94848462,5.55528500,-0.50788900
-50.94720462,5.55528500,-0.47614980
-50.94592462,5.55528500,-0.47614980
-50.94464462,5.55528500,-0.50788900
-50.94336462,5.55528500,-0.50788900
-50.94208462,5.55528500,-0.52375860
-50.94080462,5.55528500,-0.47614980
-50.93952462,5.55528500,-0.47614980
-50.93824462,5.55528500,-0.49201940
-50.93696462,5.55528500,-0.50788900
-50.93568462,5.55528500,-0.50788900
-50.93440462,5.55528500,-0.49201940
-50.93312462,5.55528500,-0.50788900
-50.93184462,5.55528500,-0.50788900
-50.93056462,5.55528500,-0.53962830
-50.92928462,5.55528500,-0.47614980
-50.92800462,5.55528500,-0.49201940
-50.92672462,5.55528500,-0.47614980
-50.92544462,5.55528500,-0.52375860
-50.92416462,5.55528500,-0.50788900
-50.92288462,5.55528500,-0.47614980
-50.92160462,5.55528500,-0.46028020
-50.92032462,5.55528500,-0.50788900
-50.91904462,5.55528500,-0.52375860
-50.91776462,5.55528500,-0.47614980
-50.91648462,5.55528500,-0.46028020
-50.91520462,5.55528500,-0.47614980
-50.91392462,5.55528500,-0.49201940
-50.91264462,5.55528500,-0.50788900
-50.91136462,5.55528500,-0.47614980
-50.91008462,5.55528500,-0.46028020
-50.90880462,5.55528500,-0.47614980
-50.90752462,5.55528500,-0.49201940
-50.90624462,5.55528500,-0.47614980
-50.90496462,5.55528500,-0.47614980
-50.90368462,5.55528500,-0.47614980
-50.90240462,5.55528500,-0.50788900
-50.90112462,5.55528500,-0.52375860
-50.89984462,5.55528500,-0.47614980
-50.89856462,5.55528500,-0.49201940
-50.89728462,5.55528500,-0.53962830
-50.89600462,5.55528500,-0.52375860
-50.89472462,5.55528500,-0.52375860
-50.89344462,5.55528500,-0.47614980
-50.89216462,5.55528500,-0.52375860
-50.89088462,5.55528500,-0.53962830
-50.88960462,5.55528500,-0.53962830
-50.88832462,5.47593600,-0.50788900
-50.88704462,5.47593600,-0.49201940
-50.88576462,5.55528500,-0.52375860
-50.88448462,5.55528500,-0.52375860
-50.88320462,5.55528500,-0.52375860
-50.88192462,5.47593600,-0.50788900
-50.88064462,5.47593600,-0.50788900
-50.87936462,5.47593600,-0.52375860
-50.87808462,5.47593600,-0.53962830
-50.87680462,5.55528500,-0.52375860
-50.87552462,5.47593600,-0.49201940
-50.87424462,5.47593600,-0.52375860
-50.87296462,5.47593600,-0.50788900
-50.87168462,5.55528500,-0.50788900
-50.87040462,5.47593600,-0.50788900
-50.86912462,5.47593600,-0.50788900
-50.86784462,5.47593600,-0.53962830
-50.86656462,5.47593600,-0.52375860
-50.86528462,5.47593600,-0.50788900
-50.86400462,5.47593600,-0.50788900
-50.86272462,5.47593600,-0.52375860
-50.86144462,5.47593600,-0.53962830
-50.86016462,5.47593600,-0.53962830
-50.85888462,5.47593600,-0.50788900
-50.85760462,5.47593600,-0.50788900
-50.85632462,5.47593600,-0.57142860
-50.85504462,5.47593600,-0.55549790
-50.85376462,5.47593600,-0.53962830
