Time,Channel A,Channel B
(ms),(V),(V)

-51.00096762,5.63463300,-0.28571430
-50.99968762,5.63463300,-0.26978360
-50.99840762,5.63463300,-0.28571430
-50.99712762,5.63463300,-0.25391400
-50.99584762,5.63463300,-0.28571430
-50.99456762,5.63463300,-0.26978360
-50.99328762,5.63463300,-0.26978360
-50.99200762,5.63463300,-0.28571430
-50.99072762,5.63463300,-0.26978360
-50.98944762,5.63463300,-0.26978360
-50.98816762,5.63463300,-0.26978360
-50.98688762,5.63463300,-0.30158390
-50.98560762,5.63463300,-0.28571430
-50.98432762,5.63463300,-0.25391400
-50.98304762,5.63463300,-0.26978360
-50.98176762,5.63463300,-0.26978360
-50.98048762,5.63463300,-0.26978360
-50.97920762,5.63463300,-0.25391400
-50.97792762,5.63463300,-0.25391400
-50.97664762,5.63463300,-0.28571430
-50.97536762,5.63463300,-0.25391400
-50.97408762,5.63463300,-0.25391400
-50.97280762,5.63463300,-0.25391400
-50.97152762,5.63463300,-0.26978360
-50.97024762,5.63463300,-0.23804440
-50.96896762,5.63463300,-0.28571430
-50.96768762,5.63463300,-0.28571430
-50.96640762,5.63463300,-0.26978360
-50.96512762,5.63463300,-0.28571430
-50.96384762,5.63463300,-0.26978360
-50.96256762,5.63463300,-0.28571430
-50.96128762,5.63463300,-0.26978360
-50.96000762,5.63463300,-0.25391400
-50.95872762,5.63463300,-0.26978360
-50.95744762,5.63463300,-0.26978360
-50.95616762,5.55528500,-0.23804440
-50.95488762,5.63463300,-0.30158390
-50.95360762,5.63463300,-0.28571430
-50.95232762,5.63463300,-0.26978360
-50.95104762,5.55528500,-0.26978360
-50.94976762,5.55528500,-0.25391400
-50.94848762,5.63463300,-0.25391400
-50.94720762,5.55528500,-0.22217470
-50.94592762,5.55528500,-0.25391400
-50.94464762,5.55528500,-0.23804440
-50.94336762,5.63463300,-0.25391400
-50.94208762,5.55528500,-0.23804440
-50.94080762,5.55528500,-0.22217470
-50.93952762,5.55528500,-0.22217470
-50.93824762,5.55528500,-0.22217470
-50.93696762,5.55528500,-0.23804440
-50.93568762,5.55528500,-0.25391400
-50.93440762,5.55528500,-0.22217470
-50.93312762,5.55528500,-0.22217470
-50.93184762,5.55528500,-0.23804440
-50.93056762,5.55528500,-0.25391400
-50.92928762,5.55528500,-0.23804440
-50.92800762,5.55528500,-0.25391400
-50.92672762,5.55528500,-0.22217470
-50.92544762,5.55528500,-0.25391400
-50.92416762,5.55528500,-0.23804440
-50.92288762,5.55528500,-0.25391400
-50.92160762,5.55528500,-0.26978360
-50.92032762,5.55528500,-0.25391400
-50.91904762,5.55528500,-0.23804440
-50.91776762,5.55528500,-0.25391400
-50.91648762,5.55528500,-0.25391400
-50.91520762,5.55528500,-0.26978360
-50.91392762,5.55528500,-0.25391400
-50.91264762,5.55528500,-0.25391400
-50.91136762,5.55528500,-0.23804440
-50.91008762,5.55528500,-0.22217470
-50.90880762,5.55528500,-0.22217470
-50.90752762,5.55528500,-0.22217470
-50.90624762,5.55528500,-0.22217470
-50.90496762,5.55528500,-0.23804440
-50.90368762,5.55528500,-0.23804440
-50.90240762,5.55528500,-0.20630510
-50.90112762,5.55528500,-0.20630510
-50.89984762,5.55528500,-0.22217470
-50.89856762,5.55528500,-0.22217470
-50.89728762,5.55528500,-0.22217470
-50.89600762,5.55528500,-0.22217470
-50.89472762,5.55528500,-0.20630510
-50.89344762,5.55528500,-0.20630510
-50.89216762,5.55528500,-0.22217470
-50.89088762,5.55528500,-0.20630510
-50.88960762,5.55528500,-0.22217470
-50.88832762,5.55528500,-0.22217470
-50.88704762,5.55528500,-0.22217470
-50.88576762,5.55528500,-0.22217470
-50.88448762,5.55528500,-0.22217470
-50.88320762,5.55528500,-0.22217470
-50.88192762,5.55528500,-0.22217470
-50.88064762,5.55528500,-0.20630510
-50.87936762,5.55528500,-0.22217470
-50.87808762,5.55528500,-0.19043550
-50.87680762,5.55528500,-0.22217470
-50.87552762,5.55528500,-0.23804440
-50.87424762,5.55528500,-0.22217470
-50.87296762,5.55528500,-0.22217470
-50.87168762,5.55528500,-0.22217470
-50.87040762,5.55528500,-0.22217470
-50.86912762,5.55528500,-0.19043550
-50.86784762,5.47593600,-0.22217470
-50.86656762,5.47593600,-0.22217470
-50.86528762,5.55528500,-0.22217470
-50.86400762,5.47593600,-0.20630510
-50.86272762,5.55528500,-0.22217470
-50.86144762,5.55528500,-0.22217470
-50.86016762,5.55528500,-0.20630510
-50.85888762,5.55528500,-0.22217470
-50.85760762,5.47593600,-0.22217470
-50.85632762,5.47593600,-0.22217470
