Time,Channel A,Channel B
(ms),(V),(V)

-100.00256449,1.58696200,0.03967406
-100.00000449,1.58696200,0.03967406
-99.99744449,1.58696200,0.03967406
-99.99488449,1.58696200,0.00000000
-99.99232449,1.58696200,0.03967406
-99.98976449,1.58696200,0.03967406
-99.98720449,1.58696200,0.03967406
-99.98464449,1.58696200,0.00000000
-99.98208449,1.58696200,0.00000000
-99.97952449,1.58696200,0.03967406
-99.97696449,1.58696200,0.00000000
-99.97440449,1.58696200,0.00000000
-99.97184449,1.58696200,0.00000000
-99.96928449,1.58696200,0.00000000
-99.96672449,1.58696200,0.00000000
-99.96416449,1.58696200,0.00000000
-99.96160449,1.58696200,0.00000000
-99.95904449,1.58696200,0.00000000
-99.95648449,1.58696200,0.00000000
-99.95392449,1.58696200,0.00000000
-99.95136449,1.58696200,-0.03967406
-99.94880449,1.58696200,0.00000000
-99.94624449,1.58696200,0.00000000
-99.94368449,1.58696200,0.00000000
-99.94112449,1.58696200,0.00000000
-99.93856449,1.58696200,0.00000000
-99.93600449,1.58696200,0.00000000
-99.93344449,1.58696200,0.00000000
-99.93088449,1.58696200,0.00000000
-99.92832449,1.74565900,0.00000000
-99.92576449,1.74565900,0.00000000
-99.92320449,1.74565900,0.00000000
-99.92064449,1.74565900,0.03967406
-99.91808449,1.74565900,0.00000000
-99.91552449,1.58696200,0.00000000
-99.91296449,1.74565900,0.00000000
-99.91040449,1.74565900,0.00000000
-99.90784449,1.74565900,-0.03967406
-99.90528449,1.74565900,0.00000000
-99.90272449,1.74565900,0.00000000
-99.90016449,1.74565900,0.00000000
-99.89760449,1.74565900,0.00000000
-99.89504449,1.74565900,0.00000000
-99.89248449,1.74565900,0.00000000
-99.88992449,1.74565900,0.00000000
-99.88736449,1.74565900,0.00000000
-99.88480449,1.74565900,0.03967406
-99.88224449,1.74565900,0.03967406
-99.87968449,1.74565900,0.03967406
-99.87712449,1.74565900,0.03967406
-99.87456449,1.74565900,0.03967406
-99.87200449,1.74565900,0.03967406
-99.86944449,1.74565900,0.03967406
-99.86688449,1.74565900,0.03967406
-99.86432449,1.74565900,0.03967406
-99.86176449,1.74565900,0.00000000
-99.85920449,1.74565900,0.00000000
-99.85664449,1.74565900,0.00000000
-99.85408449,1.74565900,0.03967406
-99.85152449,1.74565900,0.00000000
-99.84896449,1.74565900,0.00000000
-99.84640449,1.74565900,0.00000000
-99.84384449,1.74565900,0.03967406
-99.84128449,1.74565900,0.03967406
-99.83872449,1.74565900,0.03967406
-99.83616449,1.74565900,0.03967406
-99.83360449,1.74565900,0.03967406
-99.83104449,1.74565900,0.00000000
-99.82848449,1.74565900,0.03967406
-99.82592449,1.74565900,0.03967406
-99.82336449,1.74565900,0.03967406
-99.82080449,1.74565900,0.03967406
-99.81824449,1.74565900,0.03967406
-99.81568449,1.74565900,0.03967406
-99.81312449,1.74565900,0.03967406
-99.81056449,1.74565900,0.03967406
-99.80800449,1.74565900,0.03967406
-99.80544449,1.74565900,0.00000000
-99.80288449,1.90435500,0.00000000
-99.80032449,1.74565900,0.00000000
-99.79776449,1.74565900,0.00000000
-99.79520449,1.74565900,0.03967406
-99.79264449,1.74565900,0.00000000
-99.79008449,1.74565900,0.00000000
-99.78752449,1.90435500,0.00000000
-99.78496449,1.90435500,0.03967406
-99.78240449,1.90435500,0.03967406
-99.77984449,1.90435500,0.03967406
-99.77728449,1.90435500,0.03967406
-99.77472449,1.90435500,0.00000000
-99.77216449,1.90435500,0.03967406
-99.76960449,1.90435500,0.03967406
-99.76704449,1.90435500,0.03967406
-99.76448449,1.90435500,0.07934812
-99.76192449,1.90435500,0.03967406
-99.75936449,1.90435500,0.03967406
-99.75680449,1.90435500,0.03967406
-99.75424449,1.90435500,0.03967406
-99.75168449,1.90435500,0.03967406
-99.74912449,1.90435500,0.00000000
-99.74656449,1.90435500,0.00000000
-99.74400449,1.90435500,0.00000000
-99.74144449,1.90435500,0.00000000
-99.73888449,1.90435500,0.03967406
-99.73632449,1.90435500,0.00000000
-99.73376449,1.90435500,0.00000000
-99.73120449,1.90435500,0.03967406
-99.72864449,1.90435500,0.00000000
-99.72608449,1.90435500,0.00000000
-99.72352449,1.90435500,0.03967406
-99.72096449,1.90435500,0.03967406
-99.71840449,1.90435500,0.03967406
-99.71584449,1.90435500,0.03967406
-99.71328449,1.90435500,0.00000000
-99.71072449,1.90435500,0.03967406
-99.70816449,1.90435500,0.03967406
-99.70560449,1.90435500,0.00000000
-99.70304449,1.90435500,0.00000000
-99.70048449,1.90435500,0.00000000
-99.69792449,1.90435500,0.00000000
